,x1,y1,x2,y2,label,power,perc
384,568500,322500,521500,362500,6898_7165,1.35E-10,1.59E-05
385,399500,225500,380500,274500,7665_7861,1.34E-10,1.57E-05
386,567500,327500,522500,362500,6899_7132,1.33E-10,1.57E-05
387,568500,329500,521500,364500,6860_7122,1.31E-10,1.54E-05
388,567500,328500,521500,363500,6879_7128,1.31E-10,1.54E-05
389,567500,334500,521500,363500,6879_7107,1.30E-10,1.53E-05
390,564500,327500,521500,362500,6898_7130,1.29E-10,1.52E-05
391,567500,330500,521500,362500,6898_7116,1.28E-10,1.50E-05
392,355500,198500,327500,231500,7840_7926,1.28E-10,1.50E-05
393,363500,213500,329500,232500,7838_7880,1.28E-10,1.50E-05
394,342500,155500,355500,199500,7921_8262,1.27E-10,1.50E-05
395,313500,141500,338500,155500,8258_8623,1.27E-10,1.49E-05
396,345500,158500,355500,199500,7921_8197,1.27E-10,1.49E-05
397,363500,213500,369500,254500,7767_7880,1.26E-10,1.48E-05
398,567500,329500,520500,363500,6878_7121,1.24E-10,1.46E-05
399,566500,333500,521500,362500,6898_7109,1.22E-10,1.43E-05
400,356500,199500,327500,231500,7840_7922,1.21E-10,1.43E-05
401,356500,198500,328500,229500,7846_7927,1.21E-10,1.42E-05
402,567500,331500,521500,362500,6898_7112,1.20E-10,1.41E-05
403,339500,156500,356500,199500,7922_8240,1.20E-10,1.41E-05
404,567500,329500,522500,361500,6918_7121,1.19E-10,1.40E-05
405,491500,228500,471500,264500,7719_7853,1.19E-10,1.40E-05
406,570500,320500,522500,362500,6899_7184,1.19E-10,1.40E-05
407,578500,342500,522500,362500,6899_7067,1.17E-10,1.37E-05
408,399500,224500,381500,270500,7694_7864,1.16E-10,1.36E-05
409,454500,254500,452500,310500,7300_7768,1.16E-10,1.36E-05
410,328500,259500,334500,275500,7647_7737,1.12E-10,1.31E-05
411,346500,157500,362500,172500,7988_8220,1.12E-10,1.31E-05
412,399500,224500,369500,254500,7767_7864,1.12E-10,1.31E-05
413,569500,322500,522500,362500,6899_7166,1.12E-10,1.31E-05
414,346500,156500,356500,199500,7922_8243,1.09E-10,1.29E-05
415,344500,224500,329500,229500,7847_7863,1.09E-10,1.28E-05
416,347500,165500,363500,173500,7982_8040,1.08E-10,1.27E-05
417,326500,256500,321500,285500,7539_7758,1.08E-10,1.27E-05
418,578500,343500,521500,362500,6898_7061,1.07E-10,1.26E-05
419,325500,256500,321500,285500,7539_7757,1.05E-10,1.23E-05
